                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3918,                 2.6336,                 1.5479,                 1.4037,                0.58931,                0.43437,                0.46362,                0.23988,                0.54196,                 0.4077,                0.40766,                0.19272,                 1.8493,                 3.3234,                 1.7821,                 1.9443,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.4282,                 2.6663,                 1.5444,                 1.4156,                0.61781,                0.39518,                0.44556,                0.21563,                0.55286,                0.36851,                0.38511,                0.17814,                 1.8341,                 3.2341,                 1.9065,                 1.9169,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.4006,                 2.6324,                 1.5386,                 1.4094,                0.50172,                0.43483,                0.42996,                0.22314,                0.48679,                0.41732,                0.38024,                0.18002,                 1.8507,                 3.2305,                  1.887,                 1.9564,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.3827,                 2.6119,                 1.4922,                 1.3826,                0.51217,                0.45026,                 0.4295,                0.21989,                0.53632,                0.38045,                0.36787,                0.17563,                 1.7814,                 3.2455,                 1.9027,                 1.9146,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.4013,                 2.6078,                 1.5318,                 1.4021,                0.58765,                0.43263,                0.44792,                 0.2118,                0.54925,                0.38949,                0.39327,                0.17168,                 1.8521,                 3.2408,                 1.8527,                  1.967,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.3761,                  2.608,                  1.474,                 1.3862,                0.62892,                0.46046,                0.47064,                0.22881,                0.57833,                0.41969,                 0.4133,                0.19257,                 1.8688,                 3.1711,                 1.8386,                 1.9918,              0.0011802,              0.0011802,              0.0011802
                     61,                  1.372,                 2.5657,                 1.4713,                 1.3796,                0.52386,                0.44515,                0.44966,                0.21943,                0.49286,                0.41732,                0.40224,                0.18114,                 1.8498,                  3.218,                 1.8899,                 1.9806,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.3825,                 2.5885,                 1.4832,                 1.3839,                0.49937,                0.43467,                0.42106,                0.21271,                0.48041,                 0.4173,                0.38916,                0.17461,                 1.8318,                 3.2206,                 1.9082,                 1.9517,              0.0011636,              0.0011636,              0.0011636
                     63,                  1.376,                 2.5737,                 1.4435,                  1.372,                0.61011,                 0.4157,                0.44169,                0.23073,                0.61983,                0.40849,                0.40471,                0.17942,                 1.8284,                 3.1399,                 1.8339,                 1.9626,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.3844,                 2.6019,                 1.4949,                 1.3916,                0.42709,                0.48771,                  0.434,                0.20721,                0.52605,                0.38326,                0.39185,                0.17615,                 1.8492,                 3.2275,                 1.8956,                 1.9678,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.3946,                 2.6016,                 1.4618,                 1.3875,                0.60707,                0.44747,                 0.4698,                0.24174,                0.55218,                0.42532,                0.40458,                0.18327,                 1.7877,                 3.2749,                 1.8129,                 1.9363,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.3702,                 2.5819,                 1.4617,                 1.3742,                0.52883,                 0.4673,                 0.4181,                0.20426,                0.44581,                 0.4026,                0.33434,                 0.1516,                 1.8968,                 3.4205,                 1.8704,                 2.0564,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.3579,                 2.5602,                 1.4104,                 1.3648,                0.60196,                0.43054,                0.43521,                0.21715,                0.49346,                0.43625,                0.38199,                0.17787,                 1.8475,                 3.2143,                 1.8083,                 1.9894,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.3393,                 2.5351,                 1.4057,                 1.3561,                0.51522,                0.47011,                0.44387,                0.22056,                0.48359,                0.43147,                0.38576,                0.18196,                 1.8568,                 3.2164,                 1.8519,                  2.003,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.3258,                 2.5086,                 1.4024,                 1.3423,                0.58796,                 0.3997,                 0.4362,                0.21553,                0.53208,                0.36793,                0.36243,                0.16447,                 1.8458,                 3.3597,                 1.8871,                 2.0215,              0.0011059,              0.0011059,              0.0011059
                     70,                  1.339,                 2.4757,                 1.3869,                 1.3485,                0.62018,                0.45026,                0.45521,                0.21979,                0.53214,                 0.4128,                0.39025,                0.17468,                 1.7738,                 3.3069,                 1.9324,                 1.9877,              0.0010976,              0.0010976,              0.0010976
                     71,                  1.332,                 2.5114,                 1.3826,                  1.345,                0.59154,                0.46046,                0.44694,                0.21401,                0.54786,                0.40198,                0.38269,                0.17777,                  1.855,                 3.2999,                 1.8965,                 1.9819,              0.0010894,              0.0010894,              0.0010894
                     72,                  1.312,                 2.4767,                 1.3419,                 1.3291,                0.52609,                0.44818,                0.43735,                0.21995,                0.48894,                 0.4246,                0.37078,                0.17549,                  1.821,                 3.4129,                 1.8989,                 1.9911,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.3053,                 2.4779,                 1.3454,                 1.3371,                0.64026,                0.48662,                0.47748,                0.23252,                0.51941,                0.44879,                0.39943,                0.17826,                 1.8369,                 3.3136,                 1.8751,                 2.0227,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.3291,                 2.5269,                  1.368,                  1.343,                0.54897,                0.46361,                0.42966,                0.21728,                0.50993,                0.43003,                0.36486,                0.16944,                 1.8276,                 3.3567,                 1.9459,                 1.9812,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.3051,                 2.4722,                 1.3317,                 1.3334,                0.51431,                0.46411,                0.41365,                 0.2015,                0.53124,                0.38439,                 0.3516,                 0.1521,                 1.9227,                 3.3068,                 1.9437,                 2.0911,              0.0010564,              0.0010564,              0.0010564
                     76,                   1.31,                 2.4827,                   1.32,                 1.3225,                0.56817,                0.42576,                 0.4255,                0.20014,                0.52625,                 0.4048,                0.36563,                0.16365,                  1.899,                  3.279,                 1.9183,                 2.0614,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.3074,                 2.4689,                 1.3515,                 1.3342,                0.56042,                0.38891,                0.41381,                0.21947,                0.51309,                0.36282,                0.35029,                0.17132,                  1.815,                 3.3954,                 1.9929,                 2.0004,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.2907,                 2.4482,                 1.3173,                 1.3127,                0.57811,                0.40086,                0.45495,                0.22016,                0.42253,                0.43321,                0.37514,                0.16955,                 1.8507,                 3.4264,                 1.8955,                 2.0147,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.3087,                 2.4709,                 1.3284,                 1.3192,                0.52347,                0.42695,                 0.4087,                0.19472,                0.49423,                0.40538,                0.34866,                0.15172,                 1.9369,                 3.3616,                 1.9267,                 2.1018,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.3025,                  2.453,                 1.3348,                 1.3293,                0.62343,                0.38356,                0.43536,                0.20963,                0.55881,                0.35229,                0.35944,                0.15886,                 1.9087,                 3.3053,                  1.988,                 2.0274,              0.0010151,              0.0010151,              0.0010151
                     81,                  1.283,                 2.4197,                 1.3137,                  1.315,                0.61367,                0.43141,                0.45001,                0.23097,                0.59046,                0.42753,                 0.4019,                0.17809,                 1.8179,                 3.4295,                 1.8747,                  1.969,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.2761,                 2.4331,                 1.2873,                 1.3005,                0.55038,                0.45413,                0.43788,                0.21471,                0.52076,                 0.4305,                0.38189,                0.16791,                 1.9417,                 3.3828,                 1.8916,                 2.1143,             0.00099862,             0.00099862,             0.00099862
                     83,                  1.286,                 2.4428,                 1.2863,                 1.3139,                 0.5088,                0.42289,                0.43316,                0.20936,                0.47424,                 0.3995,                0.37145,                0.17014,                 1.8211,                 3.2716,                  1.899,                   2.02,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.2695,                 2.4048,                 1.2648,                 1.2949,                 0.5339,                0.43909,                0.43022,                0.21284,                0.54225,                0.40086,                0.37305,                0.16529,                 1.8893,                 3.3198,                 1.9523,                 2.0803,             0.00098211,             0.00098211,             0.00098211
                     85,                  1.281,                 2.4338,                 1.2845,                 1.3108,                0.51493,                0.42364,                0.45084,                0.22755,                0.48127,                0.39576,                   0.39,                0.17824,                 1.8734,                 3.4642,                  1.857,                 2.0566,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.2695,                 2.4152,                  1.273,                 1.2982,                0.50583,                0.42753,                0.43163,                0.21899,                0.47967,                0.41674,                0.38839,                0.17553,                  1.825,                 3.4476,                 1.9201,                 2.0086,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.2625,                  2.395,                 1.2442,                 1.2905,                0.55914,                0.45478,                0.46794,                0.23968,                0.53868,                0.43831,                0.40619,                0.18434,                 1.7984,                 3.3516,                 1.8645,                 1.9925,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.2606,                 2.3684,                 1.2488,                 1.2873,                 0.5421,                0.43263,                0.45235,                0.22686,                0.52229,                0.41106,                0.39767,                0.18493,                 1.8811,                 3.3163,                 1.8953,                 2.0425,             0.00094911,             0.00094911,             0.00094911
                     89,                  1.257,                  2.383,                 1.2576,                 1.2977,                 0.6177,                0.46104,                0.44596,                0.21293,                0.57696,                0.42753,                  0.376,                0.17232,                  1.853,                  3.435,                 1.9057,                 2.0343,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.2457,                 2.3834,                 1.2437,                 1.2795,                0.54952,                0.44195,                0.43431,                0.20397,                0.48969,                0.41106,                0.36708,                0.16633,                 1.9035,                  3.432,                 1.9334,                 2.0911,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.2525,                 2.3561,                 1.2341,                 1.2877,                 0.5816,                0.43321,                0.45167,                0.21584,                0.50103,                0.41048,                0.38577,                0.16713,                 1.9148,                 3.4772,                 1.9566,                 2.1654,             0.00092435,             0.00092435,             0.00092435
                     92,                  1.233,                 2.3407,                 1.2201,                 1.2743,                0.49777,                0.45946,                0.44635,                0.21761,                0.49497,                0.41674,                0.39074,                0.17494,                 1.9018,                 3.4485,                 1.8835,                 2.0808,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.2369,                  2.352,                 1.2131,                 1.2686,                0.59281,                0.47182,                0.46199,                0.20946,                0.54499,                0.43379,                0.38045,                0.16941,                 1.9365,                 3.3736,                 1.8167,                 2.1438,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.2348,                  2.346,                 1.2083,                 1.2712,                0.55836,                0.42243,                0.46087,                0.21967,                0.53324,                0.39432,                0.38374,                0.17669,                 1.8994,                 3.3917,                 1.8569,                 2.1191,              0.0008996,              0.0008996,              0.0008996
