                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1616,                 2.1802,                 1.0099,                 1.1853,                0.51588,                0.44018,                0.39677,                0.19372,                0.52318,                 0.3997,                0.35959,                0.16153,                 2.0162,                 3.5737,                 2.0535,                 2.1681,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.1484,                 2.1429,                0.98576,                   1.18,                0.56212,                0.42301,                0.40682,                0.19632,                0.53236,                0.40086,                0.36123,                0.16397,                 1.9682,                 3.5993,                 2.0356,                 2.1056,              0.0009326,              0.0009326,              0.0009326
                     91,                  1.125,                 2.1339,                0.97396,                 1.1689,                0.60095,                0.42579,                0.41694,                0.21242,                 0.5428,                0.39416,                0.35033,                0.15752,                 1.8998,                 3.4968,                 2.0137,                 2.0389,             0.00092435,             0.00092435,             0.00092435
                     92,                 1.1257,                 2.1255,                0.97173,                  1.172,                0.55357,                0.40669,                0.38568,                0.19022,                0.50277,                  0.381,                0.34313,                0.15051,                 2.0113,                 3.5245,                 2.2229,                 2.1319,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.1238,                 2.1123,                0.96908,                 1.1653,                0.58034,                0.47008,                0.43632,                0.21151,                 0.5308,                 0.4291,                0.37747,                0.16269,                 1.9116,                  3.613,                 2.0744,                 2.0834,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.1125,                 2.1184,                0.96325,                 1.1635,                0.48345,                0.44468,                0.39866,                0.20371,                0.50088,                0.37507,                0.33004,                0.16121,                 2.0203,                 3.6324,                  2.131,                 2.2456,              0.0008996,              0.0008996,              0.0008996
                     95,                 1.1221,                 2.1319,                0.96076,                 1.1692,                0.48042,                0.50696,                0.42023,                0.21088,                0.44201,                0.47066,                0.35766,                0.16062,                 1.9609,                 3.6179,                 1.9267,                 2.0961,             0.00089134,             0.00089134,             0.00089134
                     96,                 1.1191,                 2.1043,                0.95282,                 1.1632,                  0.459,                0.48808,                0.42557,                0.21859,                0.40511,                0.44226,                0.36382,                0.17381,                 1.9737,                 3.5925,                 2.0074,                 2.1637,             0.00088309,             0.00088309,             0.00088309
                     97,                  1.117,                 2.1182,                 0.9594,                  1.168,                0.48287,                0.44794,                0.39606,                 0.1965,                0.45219,                0.43275,                 0.3457,                0.15176,                 2.0452,                 3.5959,                 2.0932,                 2.2886,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.1025,                 2.0941,                 0.9265,                  1.156,                0.49498,                0.44736,                 0.3867,                0.19671,                0.48305,                0.42956,                0.35747,                0.15882,                  1.985,                 3.5676,                 2.1378,                 2.1447,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.0995,                 2.0609,                0.92976,                 1.1533,                0.52379,                  0.415,                0.39579,                0.20151,                0.49308,                 0.3946,                0.34372,                0.16277,                 1.9739,                 3.5374,                 2.1951,                 2.1573,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.0884,                 2.0476,                0.92101,                 1.1503,                0.53083,                0.38381,                0.40167,                0.20372,                0.47493,                0.34694,                0.33795,                 0.1599,                 1.9939,                 3.7609,                  2.277,                 2.2258,             0.00085009,             0.00085009,             0.00085009
                    101,                 1.1217,                  2.091,                0.94234,                 1.1535,                 0.4691,                0.44678,                0.39667,                0.19788,                 0.4564,                0.40691,                0.35228,                0.15297,                 1.9938,                 3.4146,                 2.1368,                 2.1626,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.0831,                  2.057,                0.90512,                 1.1391,                0.54174,                0.38833,                0.36267,                0.19452,                0.51655,                0.37981,                0.32846,                0.15094,                  2.006,                 3.6535,                 2.0999,                 2.1965,             0.00083358,             0.00083358,             0.00083358
